title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Torrente 3: El protector,movie,"Comedy, Crime",2005,tt0444505,5.6,6565
Four Minutes,movie,"Drama, Music",2006,tt0461694,7.3,7605
American Psycho,movie,"Crime, Drama, Horror",2000,tt0144084,7.6,783380
Frida,movie,"Biography, Drama, Romance",2002,tt0120679,7.3,98945
Sex and Lucía,movie,"Drama, Romance",2001,tt0254455,7,39808
Monster's Ball,movie,"Drama, Romance",2001,tt0285742,7,96558
First Blood,movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,290089
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,190076
Rambo III,movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145421
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,tt0450259,8,608402
Lights in the Dusk,movie,"Crime, Drama",2006,tt0458242,6.8,8510
Y tu mamá también,movie,Drama,2001,tt0245574,7.7,134962
The Pursuit of Happyness,movie,"Biography, Drama",2006,tt0454921,8,593344
Cutthroat Island,movie,"Action, Adventure, Comedy",1995,tt0112760,5.7,32006
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62288
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,tt0457430,8.2,726213
Take My Eyes,movie,"Drama, Romance",2003,tt0350193,7.4,7737
The Departed,movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1491820
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,273389
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173794
Little Children,movie,"Drama, Romance",2006,tt0404203,7.5,119754
The Virgin Suicides,movie,"Drama, Romance",1999,tt0159097,7.2,179516
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,361798
Miss Congeniality,movie,"Action, Comedy, Crime",2000,tt0212346,6.3,240528
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,tt0473444,7,46791
Spy Game,movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172637
