title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Saiyûki,tv, Drama,2006,tt0805320,6.60,79.00
H2O: Just Add Water,tv,Adventure,2006,tt0491603,7.30,20035.00
H2O: Just Add Water,tv, Comedy,2006,tt0491603,7.30,20035.00
H2O: Just Add Water,tv, Drama,2006,tt0491603,7.30,20035.00
Orange Days,tv,Drama,2004,tt0431557,8.00,1137.00
Orange Days,tv, Romance,2004,tt0431557,8.00,1137.00
Aquí no hay quien viva,tv,Comedy,2003,tt0381733,8.20,5309.00
Aquí no hay quien viva,tv, Romance,2003,tt0381733,8.20,5309.00
Prison Break,tv,Action,2005,tt0455275,8.30,629961.00
Prison Break,tv, Crime,2005,tt0455275,8.30,629961.00
Prison Break,tv, Drama,2005,tt0455275,8.30,629961.00
The Thin Blue Line,tv,Comedy,1995,tt0112194,7.50,8630.00
The Thin Blue Line,tv, Crime,1995,tt0112194,7.50,8630.00
Thomas & Friends,tv,Adventure,1984,tt0086815,6.50,7354.00
Thomas & Friends,tv, Animation,1984,tt0086815,6.50,7354.00
Thomas & Friends,tv, Comedy,1984,tt0086815,6.50,7354.00
The Jamie Foxx Show,tv,Comedy,1996,tt0115221,6.80,3925.00
The Office,tv,Comedy,2005,tt0386676,9.00,778398.00
Mighty Morphin Power Rangers,tv,Action,1993,tt0106064,6.60,25602.00
Mighty Morphin Power Rangers,tv, Adventure,1993,tt0106064,6.60,25602.00
Mighty Morphin Power Rangers,tv, Family,1993,tt0106064,6.60,25602.00
Hell's Kitchen,tv,Game-Show,2005,tt0437005,7.20,23694.00
Hell's Kitchen,tv, Reality-TV,2005,tt0437005,7.20,23694.00
Girlfriends,tv,Comedy,2000,tt0247102,7.40,5331.00
Girlfriends,tv, Drama,2000,tt0247102,7.40,5331.00
Girlfriends,tv, Romance,2000,tt0247102,7.40,5331.00
The Venture Bros.,tv,Action,2003,tt0417373,8.60,29560.00
The Venture Bros.,tv, Adventure,2003,tt0417373,8.60,29560.00
The Venture Bros.,tv, Animation,2003,tt0417373,8.60,29560.00
Pocoyo,tv,Animation,2005,tt0487849,7.10,2488.00
